Orlando Tag,Mode,Context,Context relationship predicate,Event
OTHERLIFEEVENT,,BiographyContext,biographicalRelationship,BiographicalEvent
BIRTH,,BirthContext,birthRelationship,BirthEvent
CULTURALFORMATION,,CulturalFormContext,culturalFormRelationship,CulturalFormEvent
DEATH,,DeathContext,deathRelationship,DeathEvent
WEALTH,,EconomicContext,economicRelationship,EconomicEvent
FAMILY,,FamilyContext,socialRelationship,FamilyEvent
FRIENDSASSOCIATES,,FriendsAndAssociatesContext,socialRelationship,FriendsAndAssociatesEvent
INTIMATERELATIONSHIPS,,IntimateRelationshipContext,socialRelationship,IntimateRelationshipEvent
LEISUREANDSOCIETY,,LeisureContext,leisureRelationship,LeisureEvent
PERSONNAME,,NameContext,nameRelationship,NameEvent
NATIONALITYISSUE,,NationalityContext,culturalFormRelationship,NationalityEvent
OCCUPATION,,OccupationContext,occupationRelationship,OccupationEvent
POLITICS,,PoliticalContext,culturalFormRelationship,PoliticalEvent
RACEANDETHNICITY,,RaceEthnicityContext,culturalFormRelationship,RaceEthnicityEvent
RELIGION,,ReligionContext,culturalFormRelationship,ReligionEvent
GENDER,,GenderContext,culturalFormRelationship,GenderEvent
SEXUALITY,,SexualityContext,culturalFormRelationship,SexualityEvent
CLASSISSUE,,SocialClassContext,culturalFormRelationship,SocialClassEvent
VIOLENCE,,ViolenceContext,violenceAssociation,ViolenceEvent
EDUCATION,INSTITUTIONAL,InstitutionalEducationContext,educationRelationship,EducationEvent
EDUCATION,SELF-TAUGHT,SelfTaughtEducationContext,educationRelationship,EducationEvent
EDUCATION,DOMESTIC,DomesticEducationContext,educationRelationship,EducationEvent
EDUCATION,,EducationContext,educationRelationship,EducationEvent
LOCATION,,SpatialContext,spatialRelationship,SpatialEvent
LOCATION,LIVED,SpatialContext,spatialRelationship,SpatialEvent
LOCATION,VISITED,SpatialContext,spatialRelationship,SpatialMovementEvent
LOCATION,MOVED,SpatialContext,spatialRelationship,SpatialMovementEvent
LOCATION,UNKNOWN,SpatialContext,spatialRelationship,SpatialEvent
LOCATION,TRAVELLED,SpatialContext,spatialRelationship,SpatialMovementEvent
LOCATION,MIGRATED,SpatialContext,spatialRelationship,SpatialMovementEvent
HEALTH,,HealthContext,healthAssociation,HealthEvent
HEALTH,PHYSICAL,PhysicalHealthContext,healthAssociation,HealthEvent
HEALTH,MENTAL,MentalHealthContext,healthAssociation,HealthEvent
HEALTH,FEMALEBODY,WomensHealthContext,healthAssociation,HealthEvent
AUTHORSUMMARY,,WritingContext,writingRelationship,WritingEvent
